iter	Passed	Remaining
0	116	115990
1	137	68564
2	158	52538
3	173	43157
4	184	36743
5	195	32325
6	205	29091
7	214	26579
8	223	24629
9	233	23109
10	242	21796
11	251	20666
12	261	19868
13	271	19116
14	278	18306
15	287	17653
16	294	17035
17	303	16536
18	310	16046
19	318	15617
20	326	15221
21	334	14892
22	343	14590
23	351	14299
24	360	14045
25	368	13817
26	376	13575
27	384	13351
28	392	13154
29	402	13018
30	410	12841
31	419	12682
32	426	12507
33	435	12365
34	443	12227
35	451	12098
36	459	11964
37	468	11854
38	475	11728
39	484	11620
40	491	11502
41	499	11400
42	507	11302
43	515	11210
44	523	11114
45	531	11022
46	540	10950
47	548	10882
48	556	10797
49	564	10724
50	571	10642
51	579	10573
52	588	10510
53	596	10458
54	605	10397
55	613	10347
56	622	10295
57	630	10242
58	638	10181
59	648	10153
60	655	10096
61	664	10047
62	672	10001
63	680	9945
64	687	9890
65	695	9844
66	703	9798
67	711	9756
68	719	9706
69	727	9666
70	735	9620
71	743	9581
72	751	9537
73	759	9499
74	766	9453
75	774	9420
76	783	9386
77	792	9367
78	800	9331
79	808	9299
80	816	9267
81	825	9240
82	833	9204
83	841	9173
84	848	9135
85	856	9106
86	865	9078
87	873	9051
88	881	9021
89	889	8996
90	897	8964
91	905	8938
92	913	8905
93	921	8882
94	929	8857
95	938	8836
96	945	8806
97	954	8781
98	962	8755
99	970	8736
100	978	8711
101	986	8686
102	994	8659
103	1002	8635
104	1009	8606
105	1018	8587
106	1026	8568
107	1035	8551
108	1043	8529
109	1052	8517
110	1060	8495
111	1069	8481
112	1077	8454
113	1085	8435
114	1093	8413
115	1101	8391
116	1108	8365
117	1116	8344
118	1123	8320
119	1131	8300
120	1139	8279
121	1147	8259
122	1155	8238
123	1163	8216
124	1171	8202
125	1180	8186
126	1187	8166
127	1195	8146
128	1203	8124
129	1211	8105
130	1218	8084
131	1226	8065
132	1234	8046
133	1241	8024
134	1249	8009
135	1257	7987
136	1265	7973
137	1273	7956
138	1282	7943
139	1290	7925
140	1298	7913
141	1306	7895
142	1315	7881
143	1324	7871
144	1332	7858
145	1341	7845
146	1350	7837
147	1359	7825
148	1368	7814
149	1378	7810
150	1387	7798
151	1395	7787
152	1404	7772
153	1414	7770
154	1423	7758
155	1433	7756
156	1442	7745
157	1451	7732
158	1460	7727
159	1468	7710
160	1479	7707
161	1488	7698
162	1496	7686
163	1505	7672
164	1513	7661
165	1522	7648
166	1530	7633
167	1538	7621
168	1547	7608
169	1556	7597
170	1564	7583
171	1573	7576
172	1582	7564
173	1592	7560
174	1600	7546
175	1610	7539
176	1618	7527
177	1627	7515
178	1636	7506
179	1645	7495
180	1655	7491
181	1664	7480
182	1674	7475
183	1684	7468
184	1694	7463
185	1703	7454
186	1712	7444
187	1721	7436
188	1731	7429
189	1740	7419
190	1748	7405
191	1757	7394
